"","Nest_ID","a1000_areaam1","a1000_areaam2","a1000_areacv1","a1000_areacv2","a1000_areamn1","a1000_areamn2","a1000_ca1","a1000_ca2","a1000_contag","a1000_lpi","a1000_lpi1","a1000_lpi2","a1000_np","a1000_np1","a1000_np2","a1000_pd","a1000_pd1","a1000_pd2","a1000_pland1","a1000_pland2","a1000_proxam","a1000_proxam1","a1000_proxam2","a1000_proxcv","a1000_proxcv1","a1000_proxcv2","a1000_proxmn","a1000_proxmn1","a1000_proxmn2","a1000_Ha","a1000_PBu","a1000_RxBu","a1000_WFBu"
"1","EMFWOR_NCAMC1-01A_2015",88.4897995,61.0449982,421.3880005,356.1910095,4.7177401,4.46,146.25,80.2799988,22.1828995,36.5209999,36.5209999,22.7632999,49,31,18,15.9708004,10.1040001,5.8668199,47.6679001,26.1660004,34.9632988,41.4883003,23.0765991,90.3795013,92.5061035,82.6697006,102.4960022,108.7320023,91.7546997,0,0,0,0
"2","EMFWOR_NCAMC1-01A_2017",108.4580002,57.4421005,374.1809998,318.071991,7.23,5.1670599,151.8300018,87.8399963,21.2150993,41.5663986,41.5663986,22.9685993,38,21,17,12.3855,6.8446298,5.5408902,49.4866982,28.6301003,30.5510998,31.6643009,28.6268997,93.5087967,88.4172974,89.2815018,120.0159988,144.1150055,90.2464981,0,0,0,0
"3","EMFWOR_NCAMC1-02A_2018",69.3640976,114.0319977,392.256012,341.7489929,4.2329998,8.9935703,126.9899979,125.9100037,19.5303001,39.0437012,30.1555004,39.0437012,44,30,14,14.3410997,9.7780399,4.5630798,41.3903999,41.0383987,21.8946991,26.2882996,17.4634991,108.0670013,108.8659973,75.1949997,104.9319992,67.4614029,185.2279968,0,0,0,0
"4","EMFWOR_NCAMC1-02A_2019",69.3640976,114.0319977,392.256012,341.7489929,4.2329998,8.9935703,126.9899979,125.9100037,19.5303001,39.0437012,30.1555004,39.0437012,44,30,14,14.3410997,9.7780399,4.5630798,41.3903999,41.0383987,21.8946991,26.2882996,17.4634991,108.0670013,108.8659973,75.1949997,104.9319992,67.4614029,185.2279968,0,0,0,0
"5","EMFWOR_NCAMC1-09A_2015",95.9378967,52.8932991,551.1190186,390.7720032,3.05795,3.25091,134.5500031,107.2799988,16.0655003,36.9609985,36.9609985,22.0592995,77,44,33,25.0970001,14.3410997,10.7558002,43.8544998,34.966301,69.9149017,47.1483994,98.4685974,106.512001,98.3200989,99.0552979,96.6766968,120.9309998,64.3373032,0,0,0,14.1834002
"6","EMFWOR_NCAMC1-09A_2018",113.1679993,24.5398998,534.1749878,319.2070007,3.8317499,2.1931601,153.2700043,83.3399963,19.9605007,42.8278008,42.8278008,10.9123001,78,40,38,25.4228992,13.0374002,12.3855,49.9560013,27.1634007,40.1850014,43.3950005,34.2815018,133.2279968,96.2349014,94.2219009,90.4421997,149.0269928,28.7733994,0,0,0,14.8041
"7","EMFWOR_NCAMC1-09A_2019",105.9950027,47.468399,536.8029785,391.5599976,3.5550001,2.9064701,142.1999969,98.8199997,17.7926998,39.9530983,39.9530983,19.8299007,74,40,34,24.1191998,13.0374002,11.0818005,46.3479004,32.2089005,64.4600983,45.9422989,91.1067963,114.973999,97.6168976,105.711998,101.0940018,140.3650055,54.892601,0,0,0,14.3744001
"8","EMFWOR_NCAMC1-10A_2017",109.6080017,24.9864006,490.4400024,344.3720093,4.375,1.9430799,157.5,75.7799988,21.3740005,42.6517982,42.6517982,12.3789997,75,36,39,24.4451008,11.7335997,12.7114,51.3347015,24.6993008,43.0642014,46.7252998,35.455101,134.5970001,90.8646011,91.1681976,87.8286972,155.0019989,25.8227005,0,0,0,14.8455
"9","EMFWOR_NCAMC1-10A_2020",92.6604004,49.1767006,558.335022,369.4970093,2.8800001,3.3561299,135.3600006,104.0400009,15.4988003,36.4035988,36.4035988,20.0352001,78,47,31,25.4228992,15.3189001,10.1040001,44.1184998,33.9101982,71.6250992,49.0536003,100.9909973,102.6320038,92.75,95.3887024,101.9029999,128.052002,62.2593002,0,0,0,14.4443998
"10","EMFWOR_NCAMC2-10A_2018",28.802,153.2559967,404.6830139,447.7210083,1.6575,7.2821698,99.4499969,167.4900055,14.8600998,52.2146988,15.9870996,52.2146988,83,60,23,27.0526009,19.5561008,7.4965,32.4141998,54.5908012,50.2524986,76.1362,34.8835983,117.2340012,95.8309021,40.2519989,130.7879944,50.9586983,339.0390015,0,0,0,0
"11","EMFWOR_NCAMC2-10A_2019",28.802,153.2559967,404.6830139,447.7210083,1.6575,7.2821698,99.4499969,167.4900055,14.8600998,52.2146988,15.9870996,52.2146988,83,60,23,27.0526009,19.5561008,7.4965,32.4141998,54.5908012,50.2524986,76.1362,34.8835983,117.2340012,95.8309021,40.2519989,130.7879944,50.9586983,339.0390015,0,0,0,0
