"","Nest_ID","a5x5_areawm","a500_areawm","a750_areawm","a1000_areawm","a5x5_areamn","a500_areamn","a750_areamn","a1000_areamn","a5x5_areacv","a500_areacv","a750_areacv","a1000_areacv","a5x5_proxmn","a500_proxmn","a750_proxmn","a1000_proxmn","a5x5_proxam","a500_proxam","a750_proxam","a1000_proxam","a5x5_pland","a500_pland","a750_pland","a1000_pland","a5x5_np","a500_np","a750_np","a1000_np","a5x5_Ha","a500_Ha","a750_Ha","a1000_Ha","a5x5_Bu","a500_Bu","a750_Bu","a1000_Bu"
"1","EMFWOR_NCAMC1-01A_2015",0.81,24.2959995,44.3516006,61.0449982,0.81,14.2200003,4.8927302,4.46,1.3e-06,84.1772003,283.9859924,356.1910095,0,17.5555992,87.8172989,91.7546997,0,5.1160302,14.5087996,23.0765991,36,39.6487007,30.4946003,26.1660004,2,10,23,49,0,0,0,0,0,0,0,0
"2","EMFWOR_NCAMC1-01A_2017",0.522,17.5337009,36.6862984,57.4421005,0.45,3.5485699,3.4319999,5.1670599,40,198.5209961,311.2789917,318.071991,0.555556,33.7414017,50.3555984,90.2464981,0.466667,10.5769997,17.816,28.6268997,40,34.6299019,29.1688004,28.6301003,3,9,24,38,0,0,0,0,0,0,0,0
"3","EMFWOR_NCAMC1-02A_2018",0.9,31.8675995,63.9748993,114.0319977,0.9,6.2249999,6.7800002,8.9935703,1.2e-06,202.9600067,290.4450073,341.7489929,0,46.9146996,112.3399963,185.2279968,0,8.4089699,23.0830002,17.4634991,40,52.0703011,46.0988998,41.0383987,2,16,31,44,0,0,0,0,0,0,0,0
"4","EMFWOR_NCAMC1-02A_2019",0.9,31.8675995,63.9748993,114.0319977,0.9,6.2249999,6.7800002,8.9935703,1.2e-06,202.9600067,290.4450073,341.7489929,0,46.9146996,112.3399963,185.2279968,0,8.4089699,23.0830002,17.4634991,40,52.0703011,46.0988998,41.0383987,2,16,31,44,0,0,0,0,0,0,0,0
"5","EMFWOR_NCAMC1-09A_2015",0.09,4.2073698,15.6687002,52.8932991,0.09,0.653478,1.641,3.25091,0,233.2039948,292.3739929,390.7720032,0,5.7737899,20.3558006,64.3373032,0,3.4300101,28.7626991,98.4685974,4,20.9535999,27.8938999,34.966301,2,37,55,77,0,0,0,0,100,31.9645004,20.5506992,14.4911003
"6","EMFWOR_NCAMC1-09A_2018",0,2.8752601,13.9403,24.5398998,0,0.45,1.2631,2.1931601,0,232.1519928,316.8049927,319.2070007,0,3.8383,11.8506002,28.7733994,0,2.20593,6.1143699,34.2815018,0,11.9196997,20.7546997,27.1634007,1,36,53,78,0,0,0,0,72,36.8479004,22.2845001,15.0776997
"7","EMFWOR_NCAMC1-09A_2019",0.27,2.50646,12.6651001,47.468399,0.27,0.462273,1.36125,2.9064701,0,210.2859955,288.1669922,391.5599976,0,3.6320601,16.1737003,54.892601,0,2.2948,7.5054798,91.1067963,12,14.1781998,24.6812992,32.2089005,2,38,57,74,0,0,0,0,100,31.2985992,20.2448006,14.5790997
"8","EMFWOR_NCAMC1-10A_2017",0.09,6.1736698,18.6352997,24.9864006,0.09,0.8175,1.25379,1.9430799,0,255.9669952,372.3330078,344.3720093,0,5.3059101,13.5261002,25.8227005,0,1.60735,5.95087,35.455101,4,13.6763,20.6016998,24.6993008,3,31,58,75,0,0,0,0,96,41.2874985,24.4773006,15.2243996
"9","EMFWOR_NCAMC1-10A_2020",0.306,6.8071899,17.5275002,49.1767006,0.225,0.909474,1.587,3.3561299,60,254.6519928,316.9299927,369.4970093,0.277778,7.5106301,19.7462997,62.2593002,0.177778,3.5310199,30.9400005,100.9909973,20,24.0902996,26.9759998,33.9101982,4,34,55,78,0,0,0,0,84,34.2952003,21.5706005,14.7257004
"10","EMFWOR_NCAMC2-10A_2018",0.45,28.8607998,104.8720016,153.2559967,0.45,3.5836401,8.5569201,7.2821698,1.2e-06,265.5840149,335.4970093,447.7210083,0,52.3186989,213.2389984,339.0390015,0,13.0425997,14.6955996,34.8835983,20,54.9561005,63.0290985,54.5908012,3,27,51,83,0,0,0,0,0,0,0,0
