"","Measurement_ID","Trees_2550","PIPO_2550","Trees_50","PIPO_50","pPIPO"
"1","EMFWOR_BGCT1-01_2015",266.666666666667,233.333333333333,37.5,35,0.893617021276596
"2","EMFWOR_BGCT1-01_2019",141.666666666667,133.333333333333,32.5,32.5,0.966666666666667
"3","EMFWOR_BGCT1-02_2015",100,100,57.5,57.5,1
"4","EMFWOR_BGCT1-02_2019",25,25,60,60,1
"5","EMFWOR_BGCT1-03_2015",150,75,32.5,27.5,0.645161290322581
"6","EMFWOR_BGCT1-04_2015",125,125,17.5,17.5,1
"7","EMFWOR_BGCT1-05_2015",83.3333333333333,41.6666666666667,35,27.5,0.666666666666667
"8","EMFWOR_BGCT1-06_2015",116.666666666667,33.3333333333333,5,5,0.352941176470588
"9","EMFWOR_BGCT1-07_2015",216.666666666667,200,15,10,0.875
"10","EMFWOR_BGCT1-08_2015",316.666666666667,291.666666666667,55,55,0.95
"11","EMFWOR_BGCT1-08_2019",50,50,60,60,1
"12","EMFWOR_BGCT1-09_2015",158.333333333333,91.6666666666667,47.5,37.5,0.684210526315789
"13","EMFWOR_BGCT1-10_2015",158.333333333333,150,25,25,0.96551724137931
"14","EMFWOR_BGCT2-01_2015",83.3333333333333,16.6666666666667,12.5,7.5,0.333333333333333
"15","EMFWOR_BGCT2-02_2015",166.666666666667,8.33333333333333,57.5,45,0.441860465116279
"16","EMFWOR_BGCT2-03_2015",133.333333333333,83.3333333333333,27.5,27.5,0.777777777777778
"17","EMFWOR_BGCT2-04_2015",41.6666666666667,33.3333333333333,62.5,55,0.866666666666667
"18","EMFWOR_BGCT2-05_2015",66.6666666666667,16.6666666666667,50,30,0.5
"19","EMFWOR_BGCT2-05_2018",8.33333333333333,8.33333333333333,35,22.5,0.666666666666667
"20","EMFWOR_BGCT2-06_2015",150,16.6666666666667,10,2.5,0.130434782608696
"21","EMFWOR_BGCT2-06_2018",141.666666666667,25,15,2.5,0.173913043478261
"22","EMFWOR_BGCT2-07_2015",116.666666666667,91.6666666666667,35,27.5,0.785714285714286
"23","EMFWOR_BGCT2-07_2018",91.6666666666667,83.3333333333333,35,32.5,0.92
"24","EMFWOR_BGCT2-08_2015",33.3333333333333,16.6666666666667,30,25,0.8125
"25","EMFWOR_BGCT2-08_2017",8.33333333333333,8.33333333333333,17.5,17.5,1
"26","EMFWOR_BGCT2-09_2015",216.666666666667,16.6666666666667,27.5,12.5,0.189189189189189
"27","EMFWOR_BGCT2-09_2018",83.3333333333333,16.6666666666667,17.5,12.5,0.411764705882353
"28","EMFWOR_BGCT2-10_2015",166.666666666667,150,32.5,27.5,0.878787878787879
"29","EMFWOR_CAMC1-01_2015",158.333333333333,133.333333333333,7.5,5,0.818181818181818
"30","EMFWOR_CAMC1-02_2015",166.666666666667,83.3333333333333,10,10,0.583333333333333
"31","EMFWOR_CAMC1-03_2015",75,33.3333333333333,20,20,0.705882352941177
"32","EMFWOR_CAMC1-04_2015",66.6666666666667,16.6666666666667,5,0,0.181818181818182
"33","EMFWOR_CAMC1-05_2015",175,50,50,15,0.292682926829268
"34","EMFWOR_CAMC1-06_2015",91.6666666666667,66.6666666666667,20,15,0.736842105263158
"35","EMFWOR_CAMC1-07_2015",108.333333333333,100,2.5,0,0.8
"36","EMFWOR_CAMC1-08_2015",158.333333333333,141.666666666667,20,20,0.925925925925926
"37","EMFWOR_CAMC1-09_2015",16.6666666666667,16.6666666666667,2.5,0,0.666666666666667
"38","EMFWOR_CAMC1-09_pre",16.6666666666667,16.6666666666667,2.5,0,0.333333333333333
"39","EMFWOR_CAMC1-10_2015",150,50,30,15,0.4
"40","EMFWOR_CAMC1-10_pre",150,50,30,15,0.4
"41","EMFWOR_CAMC2-01_2015",25,0,10,0,0
"42","EMFWOR_CAMC2-02_2015",66.6666666666667,41.6666666666667,12.5,5,0.538461538461538
"43","EMFWOR_CAMC2-03_2015",41.6666666666667,0,0,0,0
"44","EMFWOR_CAMC2-04_2015",83.3333333333333,66.6666666666667,20,15,0.736842105263158
"45","EMFWOR_CAMC2-05_2015",141.666666666667,50,15,2.5,0.304347826086957
"46","EMFWOR_CAMC2-06_2015",16.6666666666667,0,15,0,0
"47","EMFWOR_CAMC2-07_2015",25,0,5,0,0
"48","EMFWOR_CAMC2-08_2015",75,0,52.5,0,0
"49","EMFWOR_CAMC2-09_2015",175,50,12.5,12.5,0.423076923076923
"50","EMFWOR_CAMC2-10_2015",58.3333333333333,58.3333333333333,15,12.5,0.923076923076923
"51","EMFWOR_CAMC3-01_2015",175,100,17.5,10,0.571428571428571
"52","EMFWOR_CAMC3-02_2015",50,0,15,2.5,0.0769230769230769
"53","EMFWOR_CAMC3-03_2015",100,58.3333333333333,20,17.5,0.7
