"","Nest_ID","Year_located","Project_ID","Transect_ID2","Trt_cat","Nest_Ht","Tree_sp","Orientation","cosOrientation","Initiation_date","NoFL_uncert","Trees_2550","Trees_50","pPIPO","start_date","end_date","a1000_areamn2","a1000_areaam2","a1000_areacv2","a1000_contag","a1000_pland2","a1000_pland1","a1000_lpi","a1000_lpi1","a1000_lpi2","a1000_np","a1000_np2","a1000_np1","a1000_proxmn2","a1000_Ha","a1000_PBu","a1000_RxBu","a1000_WFBu","n_burn","n_harvest","n_tx","Tm_since_b","Tm_since_h","Tm_since_tx","Time_groups","Init_day","Eg_start","Ne_start","Eg_end","Ne_end","No_eggs","No_young","Type","Tmax","PPT","Tmax_eg","PPT_eg","Tmax_ne","PPT_ne"
"1","EMFWOR_NCAMC1-01A_2015",2015,"EMFWOR","EMFWOR_CAMC1","U",2.3,"PIPO",20,0.939692620785908,"2015-06-06",2,33.3333333333333,17.5,0.272727272727273,"06","07",4.46,61.0449982,356.1910095,22.1828995,26.1660004,47.6679001,36.5209999,36.5209999,22.7632999,49,18,31,91.7546997,0,0,0,0,0,0,0,"oot","oot","oot","oot",157,"06","06","06","07",3,2,"egg",29.8,20,25.3,16,29.8,20
"2","EMFWOR_NCAMC1-01A_2017",2017,"EMFWOR","EMFWOR_CAMC1","U",4.5,"PIPO",140,-0.766044443118978,"2017-05-23",2,50,15,0.769230769230769,"05","07",5.1670599,57.4421005,318.071991,21.2150993,28.6301003,49.4866982,41.5663986,41.5663986,22.9685993,38,17,21,90.2464981,0,0,0,0,0,0,0,"oot","oot","oot","oot",143,NA,"05",NA,"06",0,2,"nestling",29.7,46,NA,0,25.2,42
"3","EMFWOR_NCAMC1-02A_2018",2018,"EMFWOR","EMFWOR_CAMC1","U",5.2,"PIPO",300,0.5,"2018-05-28",2,191.666666666667,17.5,0.5,"05","07",8.9935703,114.0319977,341.7489929,19.5303001,41.0383987,41.3903999,39.0437012,30.1555004,39.0437012,44,14,30,185.2279968,0,0,0,0,0,0,0,"oot","oot","oot","oot",148,NA,"05",NA,"07",3,2,"egg+nestling",30,44,NA,0,30,44
"4","EMFWOR_NCAMC1-02A_2019",2019,"EMFWOR","EMFWOR_CAMC1","U",4.6,"PIPO",218,-0.788010753606722,"2019-06-12",0,191.666666666667,17.5,0.5,"06","07",8.9935703,114.0319977,341.7489929,19.5303001,41.0383987,41.3903999,39.0437012,30.1555004,39.0437012,44,14,30,185.2279968,0,0,0,0,0,0,0,"oot","oot","oot","oot",163,"06","06","06","07",6,1,"egg",30,19,25.5,15,30,19
"5","EMFWOR_NCAMC2-10A_2018",2018,"EMFWOR","EMFWOR_CAMC2","U",3.9,"PIPO",82,0.139173100960065,"2018-05-23",2,91.6666666666667,7.5,0.733333333333333,"05","07",7.2821698,153.2559967,447.7210083,14.8600998,54.5908012,32.4141998,52.2146988,15.9870996,52.2146988,83,23,60,339.0390015,0,0,0,0,0,0,0,"oot","oot","oot","oot",143,"05","05","06","07",4,3,"egg",29.6,46,25.2,42,29.6,46
"6","EMFWOR_NCAMC2-10A_2019",2019,"EMFWOR","EMFWOR_CAMC2","U",3.9,"PIPO",82,0.139173100960065,"2019-06-03",0,91.6666666666667,7.5,0.733333333333333,"06","07",7.2821698,153.2559967,447.7210083,14.8600998,54.5908012,32.4141998,52.2146988,15.9870996,52.2146988,83,23,60,339.0390015,0,0,0,0,0,0,0,"oot","oot","oot","oot",154,"06","06","06","07",3,2,"egg",29.6,20,25.2,16,29.6,20
"7","EMFWOR_NCAMC3-08A_2018",2018,"EMFWOR","EMFWOR_CAMC3","U",3.1,"POTR5",51,0.629320391049837,"2018-05-20",4,75,0,0,"05","07",2.75211,22.6940994,269.1860046,33.5130997,17.0431004,51.5400009,49.2519989,49.2519989,10.8242998,27,19,8,21.7856007,0,0,0,0,0,0,0,"oot","oot","oot","oot",140,"05","05","06","07",4,4,"egg",29.5,47,25,43,29.5,47
"8","EMFWOR_NCAMC3-08A_2020",2020,"EMFWOR","EMFWOR_CAMC3","U",4.8,"POTR5",102,-0.207911690817759,"2020-05-25",1,33.3333333333333,5,0.142857142857143,"05","07",2.4300001,20.0788002,269.4970093,33.4715004,17.4244995,52.7720985,50.5719986,50.5719986,10.2082996,28,22,6,22.9120007,0,0,0,0,0,0,0,"oot","oot","oot","oot",146,"05","05","06","07",4,1,"egg",29.5,47,25,43,29.5,47
"9","EMFWOR_NCAMC4-01A_2018",2018,"EMFWOR","EMFWOR_CAMC4","B",3.1,"POTR5",2,0.999390827019096,"2018-06-03",1,75,20,0.88235294117647,"06","07",0.595455,5.3646898,283.0090027,23.9491005,19.2138004,58.8442001,51.3347015,51.3347015,3.9601099,121,99,22,7.74509,4.2241101,8.3808098,56.2943993,0,1,0,1,"0","oot","0","0-5",154,NA,"06",NA,"07",0,1,"nestling",28.4,23,NA,0,28.4,23
"10","EMFWOR_NCAMC4-01A_2020",2020,"EMFWOR","EMFWOR_CAMC4","B",1.7,"POTR5",90,6.12323399573677e-17,NA,0,50,15,0.166666666666667,NA,"06",0.54,4.8133702,281.3120117,26.6476002,17.7765007,59.9883003,56.5267982,56.5267982,3.9601099,119,101,18,7.0058198,5.8961601,13.1617002,61.9155006,0,1,0,1,"2","oot","2","0-5",NA,NA,NA,"06",NA,4,0,"egg",NA,0,NA,0,NA,0
"11","EMFWOR_NCAMC4-07A_2016",2016,"EMFWOR","EMFWOR_CAMC4","U",1.7,"POTR5",322,0.788010753606722,"2016-05-29",3,66.6666666666667,0,0.888888888888889,"05","07",1.61836,31.8635006,432.3049927,14.1638002,29.0114002,54.0041008,50.3372993,50.3372993,17.0725002,87,55,32,29.0573997,0,0,0,0,0,0,0,"oot","oot","oot","oot",150,NA,"05",NA,"07",0,3,"nestling",29,50,NA,0,29,50
"12","EMFWOR_NCAMC4-07A_2018",2018,"EMFWOR","EMFWOR_CAMC4","U",1.7,"POTR5",156,-0.913545457642601,"2018-05-23",2,83.3333333333333,2.5,0.0833333333333333,"05","07",1.67667,17.6305008,308.4670105,14.2714996,29.5100994,54.5908012,51.9506989,51.9506989,11.6456003,85,54,31,19.5307999,0,0,0,0,0,0,0,"oot","oot","oot","oot",143,NA,"05",NA,"07",0,2,"nestling",28.9,51,NA,0,28.9,51
"13","EMFWOR_NCAMC4-07A_2019",2019,"EMFWOR","EMFWOR_CAMC4","U",3.9,"POTR5",194,-0.970295726275996,"2019-05-26",1,66.6666666666667,20,0.823529411764706,"05","07",1.3890001,9.7804499,245.7920074,15.8908997,27.1634007,56.5561981,54.8548012,54.8548012,7.2161899,83,60,23,15.8381004,0,0,0,0,0,0,0,"oot","oot","oot","oot",146,"05","05","06","07",4,2,"egg",28.9,51,24.6,46,28.9,51
"14","EMFWOR_NCAMC4-09A_2020",2020,"EMFWOR","EMFWOR_CAMC4","U",2.1,"POTR5",220,-0.766044443118978,"2020-05-31",0,116.666666666667,7.5,0.529411764705882,"05","06",0.839531,3.8398499,189.0449982,27.9113998,17.5125008,60.6922989,57.9054985,57.9054985,3.1974199,71,64,7,8.7692699,0,0,0,0,0,0,0,"oot","oot","oot","oot",152,"05",NA,"06",NA,4,0,"egg",25.1,44,25.1,44,NA,0
"15","EMFWOR_NCAMC4-10A_2016",2016,"EMFWOR","EMFWOR_CAMC4","U",4.6,"PIPO",359,0.999847695156391,"2016-06-01",2,8.33333333333333,15,0,"06","07",0.907031,7.5693498,271.019989,24.3887005,18.9204998,57.9348984,46.0545998,46.0545998,5.8961601,82,64,18,9.9089298,0,0,0,0,0,0,0,"oot","oot","oot","oot",153,NA,"06",NA,"07",0,2,"nestling",29.5,21,NA,0,29.5,21
"16","EMFWOR_NCAMC4-10A_2017",2017,"EMFWOR","EMFWOR_CAMC4","U",6.2,"POTR5",39,0.777145961456971,"2017-05-30",2,58.3333333333333,10,0.454545454545455,"05","07",0.884286,4.43472,200.375,26.7980995,18.1578007,60.0469017,56.2335014,56.2335014,3.02141,75,63,12,8.8954496,0,0,0,0,0,0,0,"oot","oot","oot","oot",150,NA,NA,NA,NA,NA,NA,NA,29.5,47,NA,0,NA,0
"17","EMFWOR_NCAMC4-10A_2018",2018,"EMFWOR","EMFWOR_CAMC4","U",1.7,"POTR5",32,0.848048096156426,"2018-05-22",1,91.6666666666667,2.5,0.333333333333333,"05","07",0.738806,3.50313,193.4320068,30.6445007,16.1338005,61.4550018,58.1696014,58.1696014,3.1680801,75,67,8,7.4896002,0,0,0,0,0,0,0,"oot","oot","oot","oot",142,NA,"05",NA,"06",0,1,"nestling",29.5,47,NA,0,25.1,43
"18","EMFWOR_NCAMC4-10B_2018",2018,"EMFWOR","EMFWOR_CAMC4","U",2.5,"POTR5",80,0.17364817766693,"2018-05-22",1,8.33333333333333,0,0,"05","07",1.22464,13.0479002,310.7160034,19.4978008,22.3526001,53.0653992,31.4755001,31.4755001,8.6242304,76,56,20,14.7007999,0,0,0,0,0,0,0,"oot","oot","oot","oot",142,"05","05","06","07",4,3,"egg",29.7,46,25.3,42,29.7,46
"19","EMFWOR_NCAMC5-01A_2015",2015,"EMFWOR","EMFWOR_CAMC5","U",2.4,"POTR5",136,-0.719339800338651,"2015-05-30",3,16.6666666666667,2.5,0.4,"05","07",0.975789,7.8882499,266.1570129,28.5111008,18.1285,62.6870003,61.4842987,61.4842987,5.5148101,70,57,13,10.4209995,0,0,0,0,0,0,0,"oot","oot","oot","oot",150,"05","05","06","07",1,3,"egg+nestling",29.2,48,24.8,44,29.2,48
"20","EMFWOR_NCAMC5-01A_2017",2017,"EMFWOR","EMFWOR_CAMC5","U",2.4,"POTR5",198,-0.951056516295154,"2017-05-12",0,33.3333333333333,12.5,0.4,"05","06",0.975789,7.8882499,266.1570129,28.5111008,18.1285,62.6870003,61.4842987,61.4842987,5.5148101,70,57,13,10.4209995,0,0,0,0,0,0,0,"oot","oot","oot","oot",132,"05","05","05","06",2,3,"egg+nestling",24.8,44,15.6,27,24.8,44
"21","EMFWOR_NCAMC5-01A_2018",2018,"EMFWOR","EMFWOR_CAMC5","U",7.3,"POTR5",243,-0.453990499739547,"2018-05-20",3,25,2.5,0.2,"05","07",0.975789,7.8882499,266.1570129,28.5111008,18.1285,62.6870003,61.4842987,61.4842987,5.5148101,70,57,13,10.4209995,0,0,0,0,0,0,0,"oot","oot","oot","oot",140,"05","05","06","07",4,3,"egg",29.2,48,24.8,44,29.2,48
"22","EMFWOR_NCAMC5-01A_2020",2020,"EMFWOR","EMFWOR_CAMC5","U",1.5,"POTR5",175,-0.996194698091746,"2020-06-09",0,66.6666666666667,22.5,1,"06","07",1.1087199,8.3336296,255.272995,30.7194004,16.9845009,61.9243011,60.6629982,60.6629982,5.5148101,61,47,14,11.0150003,0,0,0,0,0,0,0,"oot","oot","oot","oot",161,"06",NA,"07",NA,3,0,"egg",29.1,21,29.1,21,NA,0
"23","EMFWOR_NCAMC7-06A_2015",2015,"EMFWOR","EMFWOR_CAMC7","U",1.7,"POTR5",191,-0.981627183447664,"2015-06-01",4,91.6666666666667,5,0.307692307692308,"06","07",14.4692001,183.1040039,341.3900146,19.566,61.3083,29.6275005,60.4869003,7.71487,60.4869003,55,13,42,319.4909973,0,0,0,0,0,0,0,"oot","oot","oot","oot",152,"06","06","06","07",4,4,"egg",29.2,21,24.8,17,29.2,21
"24","EMFWOR_NCAMC7-06A_2018",2018,"EMFWOR","EMFWOR_CAMC7","U",7.5,"POTR5",272,0.0348994967025013,"2018-05-28",4,100,7.5,0.266666666666667,"05","07",14.1576996,178.345993,340.54599,18.4986992,59.9883003,30.0967999,59.0495987,7.71487,59.0495987,55,13,42,313.348999,0,0,0,0,0,0,0,"oot","oot","oot","oot",148,"05","05","06","07",0,4,"nestling",29.2,48,24.8,44,29.2,48
"25","EMFWOR_NCAMC7-06A_2020",2020,"EMFWOR","EMFWOR_CAMC7","U",4,"PIPO",330,0.866025403784438,"2020-05-24",2,16.6666666666667,5,0.166666666666667,"05","07",19.6469994,192.0059967,296.1889954,21.6956997,64.0363998,28.3367996,63.3030014,7.71487,63.3030014,48,10,38,400.2539978,0,0,0,0,0,0,0,"oot","oot","oot","oot",145,NA,"05",NA,"07",0,2,"nestling",29.2,48,NA,0,29.2,48
"26","EMFWOR_NCAMC8-06A_2016",2016,"EMFWOR","EMFWOR_CAMC8","U",3.8,"PIPO",255,-0.258819045102521,"2016-06-05",3,66.6666666666667,2.5,0.7,"06","07",0.715263,2.22228,145.1529999,21.8687992,17.7178001,51.7747002,49.8973007,49.8973007,2.2880599,99,76,23,6.4987001,0,0,0,0,0,0,0,"oot","oot","oot","oot",157,NA,"06",NA,"07",0,3,"nestling",28.8,23,NA,0,28.8,23
"27","EMFWOR_NCAMC8-07A_2017",2017,"EMFWOR","EMFWOR_CAMC8","U",1.8,"POTR5",322,0.788010753606722,"2017-05-22",3,25,2.5,0.666666666666667,"05","07",0.971379,5.1498399,207.4019928,21.7194004,18.3631992,51.5400009,49.1053009,49.1053009,4.75213,83,58,25,7.5199399,0,0,0,0,0,0,0,"oot","oot","oot","oot",142,"05","05","06","06",5,3,"egg",28.9,49,24.6,45,24.6,45
"28","EMFWOR_NCAMC8-07A_2018",2018,"EMFWOR","EMFWOR_CAMC8","U",1.8,"POTR5",322,0.788010753606722,"2018-05-23",2,25,2.5,0.666666666666667,"05","07",0.971379,5.1498399,207.4019928,21.7194004,18.3631992,51.5400009,49.1053009,49.1053009,4.75213,83,58,25,7.5199399,0,0,0,0,0,0,0,"oot","oot","oot","oot",143,"05","05","06","07",3,2,"egg",28.9,49,24.6,45,28.9,49
"29","EMFWOR_NCAMC8-07A_2019",2019,"EMFWOR","EMFWOR_CAMC8","U",1.8,"POTR5",322,0.788010753606722,NA,0,25,2.5,0.666666666666667,NA,"06",0.971379,5.1498399,207.4019928,21.7194004,18.3631992,51.5400009,49.1053009,49.1053009,4.75213,83,58,25,7.5199399,0,0,0,0,0,0,0,"oot","oot","oot","oot",NA,NA,NA,"06",NA,2,0,"egg",NA,0,NA,0,NA,0
"30","EMFWOR_NCAMC8-09A_2019",2019,"EMFWOR","EMFWOR_CAMC8","U",4,"POTR5",322,0.788010753606722,"2019-06-23",2,25,0,0,"06","08",1.19204,8.2635002,243.5619965,20.2094994,19.0377998,48.1665993,42.4757996,42.4757996,6.6001801,80,49,31,13.4891005,0,0,0,0,0,0,0,"oot","oot","oot","oot",174,NA,"06",NA,"08",0,2,"nestling",29,26,NA,0,29,26
