"parameter","beta_50","beta_lower","beta_upper","p","category"
"Treatment type: Harvest",0.903986875681417,-0.278208011698717,2.18103271146978,0.0677009407492986,"Nest management (2.25 ha)"
"Treatment type: Burn",1.85039753373792,0.0205321655709366,4.00584099543323,0.023502228090444,"Nest management (2.25 ha)"
"Treatment type: Harvest&Burn",1.37860704283848,-0.665156054640045,3.56720991762139,0.0915552621444683,"Nest management (2.25 ha)"
"Landscape perc. Burned",-0.434210028640526,-1.22326323288769,0.297951396356329,0.125433239808549,"Landscape management (314 ha)"
"Landscape perc. Harvested",-0.405231041159982,-1.01375692574242,0.163226871832106,0.081806678769874,"Landscape management (314 ha)"
"Nest tree species: Aspen",-0.686784039666882,-2.22326345650757,0.924376436621104,0.191164658634538,"Nest habitat"
"Nest tree species: Juniper",-0.621029461620257,-2.03292812693298,0.815639116669203,0.19388237883039,"Nest habitat"
"Nest tree species: Douglas Fir",0.710423178902386,-0.85104195092598,2.42138002073846,0.192165923969852,"Nest habitat"
"Nest height",-0.044021587403056,-0.358360515810261,0.268668033157267,0.39298013973703,"Nest habitat"
"Nest orientation",-0.141840323653388,-0.47792517283938,0.179259671191413,0.195576827859383,"Nest habitat"
"Nest initiation day",-0.0175040227908655,-0.638979006828338,0.556443920716149,0.476690322935578,"Nest habitat"
"Large tree density",0.128821824445756,-0.217328008353744,0.491558201222698,0.236463662870661,"Local habitat (0.4 ha)"
"Small tree density",-0.106403061203796,-0.460024799187337,0.231786544184607,0.270638719260604,"Local habitat (0.4 ha)"
"Percent ponderosa forest",-0.228208087488889,-0.694979929198343,0.211412413464651,0.15499807448974,"Local habitat (0.4 ha)"
"Percent forested landscape",-0.177468608568491,-0.829066036784205,0.4175731966728,0.282026737085328,"Landscape habitat (314 ha)"
"Total number forest patches",0.0261906338123647,-0.391981205432412,0.45242676760447,0.451064532101007,"Landscape habitat (314 ha)"
"Forest patch size CV",0.493549900914918,-0.00495145871195679,1.0639911057105,0.0262859657809319,"Landscape habitat (314 ha)"
"Contagion Index",0.0329890006978302,-0.535498921098008,0.599585038557207,0.454310392253947,"Landscape habitat (314 ha)"
"Landscape Patch Index",0.0526393435272086,-0.55665138626526,0.673427984977494,0.431182263299774,"Landscape habitat (314 ha)"
"Maximum temperature",-0.860146072284225,-1.5995463113621,-0.114985031852288,0.0106728282994993,"Climate (27 ha)"
"Maximum temperatue ^2",0.189806145888074,-0.0895256993342033,0.459826719926437,0.0878912911921659,"Climate (27 ha)"
"Precipitation",0.494838779562737,0.018921245908087,1.00451818850781,0.0209825603785003,"Climate (27 ha)"
"Precipitation ^2",-0.13102948408209,-0.560208216558411,0.325321928067371,0.27637123837817,"Climate (27 ha)"
"Small trees * Percent ponderosa",0.0331091243290595,-0.35511459074804,0.43379225954327,0.434043021400671,"Variable interactions"
"Large trees * temperature",-0.0101962620631645,-0.403745414059627,0.365525219205972,0.479077955658249,"Variable interactions"
"Small trees * temperature",-0.120708319031208,-0.466808241102367,0.245442647794041,0.255817791714804,"Variable interactions"
"Perc. harvest * perc. burned",0.20108682920671,-0.240005322863177,0.645418498200422,0.183242559278209,"Variable interactions"
"Temperature * precipitation",-0.176474432042867,-0.739940428631229,0.367505921526791,0.263739891071134,"Variable interactions"
