"category","parameter","beta_50","beta_lower","beta_upper","p"
"Nest management (2.25 ha)","Treatment type: Harvest",-0.328426243618484,-1.52856907077693,0.844999833759258,0.292365086733027
"Nest management (2.25 ha)","Treatment type: Burn",1.63473369374095,-0.423552041251772,3.86568428635008,0.0588993759348084
"Nest management (2.25 ha)","Treatment type: Harvest&Burn",1.90263087700352,0.101192932530418,3.91742650497403,0.0191001770763491
"Landscape management (314 ha)","Perc. landscape burned",-1.43129225520978,-2.29079021692078,-0.618722371557542,6.87675142262423e-05
"Landscape management (314 ha)","Perc. landscape harvested",0.174223234980286,-0.416980176819283,0.763263663139414,0.275792115804494
"Nest habitat","Nest tree species: Aspen",0.825026257867347,-0.686711942820383,2.37132943719807,0.141695463063249
"Nest habitat","Nest tree species: Juniper",1.34622593696127,0.026100562298073,2.76483123521645,0.0228480066016814
"Nest habitat","Nest tree species: Douglas Fir",0.998776205829715,-0.39787483601789,2.61393161969328,0.082056836350508
"Nest habitat","Nest tree species: Fir",-7.52143280484325,-22.9471725653151,0.0391161958259527,0.0260285041346467
"Nest habitat","Nest height",0.279554793109256,-0.0491194653507544,0.619434763978984,0.0481372599583957
"Nest habitat","Nest orientation",-0.183313302706397,-0.482639608223428,0.104880841703554,0.106383344508054
"Nest habitat","Nest initiation day",-0.395922990478951,-0.789551890138136,0.00189339978411927,0.0254783640208366
"Local habitat (0.4 ha)","Large tree density",-0.0804594748286832,-0.475929503417499,0.325008667716656,0.3463303935221
"Local habitat (0.4 ha)","Small tree density",-0.207463523505165,-0.523665109128862,0.108406521245155,0.0985610397648151
"Local habitat (0.4 ha)","Percent ponderosa forest",-0.170486279198102,-0.612887069471518,0.244264540394737,0.214056079907851
"Landscape habitat (314 ha)","Percent forested landscape",0.183324987720238,-0.375100001366326,0.777306603880633,0.25701858442072
"Landscape habitat (314 ha)","Total number of forest patches",0.118980922150701,-0.329974456785952,0.558894753757941,0.296972510186188
"Landscape habitat (314 ha)","Forest patch size CV",0.11463574365977,-0.285524937209889,0.526823916528203,0.285608678460295
"Landscape habitat (314 ha)","Contagion",0.11987491698255,-0.391032539945623,0.607640218088058,0.322554025478364
"Landscape habitat (314 ha)","Largest Patch Index",0.216756251627966,-0.250386554114528,0.683798404271133,0.182955971599017
"Climate (27 ha)","Maximum temperature",1.11077429970207,0.720856990566359,1.54440158210314,0
"Climate (27 ha)","Maximum temperatue ^2",-0.291433910964765,-0.596517179550729,0.0252214356026511,0.0357762992762219
"Climate (27 ha)","Precipitation",0.388617529353388,-0.0494495480099227,0.835706944614914,0.0419997593137003
"Climate (27 ha)","Precipitation ^2",0.245952298173833,-0.0681603044666143,0.601739666612347,0.0648477659153815
"Variable interactions","Small trees * percent ponderosa",0.104140280524683,-0.228182232078007,0.447198474191708,0.271580105558134
"Variable interactions","Large trees * percent ponderosa",-0.142881432178478,-0.567896282090792,0.253717457592361,0.240462805370743
"Variable interactions","Large trees * temperature",0.139387307380945,-0.195801782203375,0.480589072117406,0.209070435126446
"Variable interactions","Perc harvest * perc. burned",0.280930415281996,-0.162679480385052,0.756931055178839,0.105386215551773
"Variable interactions","Temperature * precipiation",0.0731113546943764,-0.290159635863661,0.481385789809157,0.345281688930149
